,0
0,1.8877948865186204e-05
1,9.438974432593119e-06
2,1.887794886518627e-05
3,1.887794886518625e-06
4,1.887794886518627e-05
5,3.775589773037249e-08
6,1.887794886518625e-06
7,0.0018877948865186245
8,1.887794886518627e-05
9,0.00018877948865186293
10,1.887794886518627e-05
11,1.887794886518625e-06
12,0.0018877948865186245
13,3.775589773037253e-07
14,1.887794886518627e-05
15,9.438974432593119e-06
16,1.8877948865186204e-05
17,1.887794886518625e-06
18,1.887794886518625e-06
19,3.775589773037257e-06
20,1.887794886518625e-06
21,1.887794886518625e-06
22,9.438974432593129e-05
23,1.887794886518627e-05
24,9.438974432593129e-05
25,1.887794886518625e-06
26,1.887794886518627e-05
27,1.887794886518621e-08
28,1.887794886518625e-06
29,3.775589773037261e-05
30,1.887794886518627e-05
31,1.887794886518621e-08
32,1.8877948865186204e-05
33,1.887794886518627e-05
34,1.887794886518627e-05
35,9.438974432593119e-06
36,3.775589773037258e-09
37,1.887794886518627e-05
38,9.438974432593108e-07
39,9.438974432593154e-09
40,1.887794886518627e-05
41,1.887794886518627e-05
42,1.887794886518625e-06
43,1.887794886518627e-05
44,1.8877948865186297e-07
45,1.887794886518627e-05
46,1.887794886518627e-05
47,1.887794886518627e-05
48,1.887794886518627e-05
49,3.775589773037261e-05
50,1.887794886518627e-05
51,1.887794886518625e-06
52,1.887794886518627e-05
53,3.775589773037261e-05
54,1.8877948865186204e-05
55,1.887794886518625e-06
56,1.887794886518627e-05
57,1.887794886518627e-05
58,0.00018877948865186225
59,0.00018877948865186225
60,3.775589773037253e-07
61,1.887794886518625e-06
62,1.887794886518627e-05
63,3.775589773037261e-05
64,1.8877948865186297e-07
65,3.775589773037257e-06
66,1.8877948865186253e-09
67,1.887794886518627e-05
68,3.775589773037261e-05
69,1.887794886518627e-05
70,9.438974432593129e-05
71,1.8877948865186162e-07
72,0.0003775589773037252
73,1.887794886518627e-05
74,1.887794886518627e-05
75,1.8877948865186162e-07
76,1.887794886518625e-06
77,1.887794886518627e-05
78,1.887794886518627e-05
79,1.887794886518627e-05
80,0.00018877948865186225
81,1.887794886518627e-05
82,1.887794886518621e-08
83,1.8877948865186297e-07
84,1.8877948865186204e-05
85,1.887794886518625e-06
86,1.887794886518627e-05
87,1.887794886518625e-06
88,3.775589773037261e-05
89,9.438974432593108e-07
90,1.887794886518627e-05
91,1.887794886518627e-05
92,3.775589773037249e-08
93,3.775589773037261e-05
94,9.438974432593129e-05
95,9.438974432593108e-07
96,9.438974432593154e-09
97,1.887794886518627e-05
98,1.887794886518625e-06
99,9.438974432593129e-05
100,0.0009438974432593139
101,1.887794886518625e-06
102,3.775589773037257e-06
103,1.887794886518627e-05
104,1.887794886518627e-05
105,1.887794886518627e-05
106,1.8877948865186204e-05
107,9.43897443259313e-08
108,3.775589773037257e-06
109,1.887794886518625e-06
110,1.8877948865186297e-07
111,3.775589773037253e-07
112,1.887794886518627e-05
113,3.775589773037258e-09
114,3.775589773037249e-08
115,1.887794886518627e-05
116,1.887794886518627e-05
117,1.887794886518625e-06
118,1.887794886518627e-05
119,1.887794886518627e-05
120,1.887794886518627e-05
121,1.887794886518625e-06
122,1.887794886518627e-05
123,1.887794886518627e-05
124,9.438974432593129e-05
125,1.887794886518625e-06
126,1.887794886518627e-05
127,1.887794886518627e-05
128,9.438974432593119e-06
129,1.887794886518627e-05
130,0.00018877948865186225
131,3.775589773037257e-06
132,1.887794886518627e-05
133,0.00018877948865186293
134,0.0009438974432593139
135,3.775589773037261e-05
136,1.8877948865186184e-06
137,9.438974432593086e-09
138,1.8877948865186297e-07
139,9.438974432593129e-05
140,1.887794886518627e-05
141,0.00018877948865186225
142,1.887794886518625e-06
143,1.887794886518627e-05
144,1.887794886518625e-06
145,1.887794886518627e-05
146,1.8877948865186297e-07
147,1.8877948865186253e-09
148,9.438974432593129e-05
149,1.887794886518627e-05
150,1.887794886518625e-06
151,9.438974432593086e-09
152,1.887794886518621e-08
153,1.8877948865186162e-07
154,1.887794886518627e-05
155,3.775589773037249e-08
156,1.887794886518627e-05
157,1.887794886518625e-06
158,1.887794886518627e-05
159,1.8877948865186302e-10
160,1.887794886518625e-06
161,1.887794886518625e-06
162,1.887794886518621e-08
163,9.438974432593108e-07
164,1.887794886518625e-06
165,1.887794886518625e-06
166,9.438974432593108e-07
167,1.887794886518627e-05
168,0.0018877948865186312
169,1.8877948865186204e-05
170,9.438974432593119e-06
171,1.887794886518627e-05
172,1.887794886518627e-05
173,1.887794886518625e-06
