,"BayesianSSA (9, 1)","BayesianSSA (6, 2)","BayesianSSA (3, 1)","BayesianSSA (2, 1)",Base method,Random
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.2844600552386223,1.0202633222571311,1.0202633222571311,0.8989420935395428,1.0202633222571311,0.6931471805599453
2,1.5624398292735173,1.4776971845932323,1.477697184593234,1.4409617624622002,1.519242723739442,1.3862943611198906
3,1.8663450939011188,2.0637978776918136,1.9871176345343287,1.955730432809418,2.539506045996573,2.0794415416798357
4,1.9751900572988426,2.3574080009581664,2.248902156077861,2.2886274008095655,3.038485447478884,2.772588722239781
5,2.4531095840481023,2.967799657993978,2.8678185052760137,2.961402418551551,3.762298042349713,3.4657359027997265
6,2.5426351792486153,3.207065632221471,3.0658355827773534,3.2079770989993057,4.261277443832023,4.1588830833596715
7,2.6564460424346628,3.5511340363121087,3.357177505819232,3.5493842139673237,5.2815407660891545,4.852030263919617
8,2.7370692764668876,3.7577780659742,3.5181365770233572,3.7448244867516323,5.780520167571465,5.545177444479562
9,2.8239129268857366,4.01659611818055,3.7309352025929914,4.004576987038757,6.800783489828596,6.238324625039508
10,2.9626250066095863,4.362972956873763,4.041870463217987,4.389342217304296,7.524596084699426,6.931471805599453
11,3.0369087529631886,4.547952304006874,4.178915875917355,4.551709665013955,8.023575486181738,7.6246189861593985
12,3.132018023487422,4.80921079753932,4.398627340534836,4.827159641622232,8.747388081052566,8.317766166719343
13,5.839188720148089,6.67306100746466,6.578428285400978,6.866247805170789,9.68171550041287,9.010913347279288
14,5.973285419679728,6.918552660047076,6.808070174782009,7.12892657013147,10.180694901895182,9.704060527839234
15,6.0553628035823746,7.1366411818015285,6.981461552654287,7.344031481058426,10.90450749676601,10.39720770839918
16,6.13135261061287,7.343320690438968,7.144579894640157,7.547840636700814,11.924770819023141,11.090354888959125
17,6.201018425132073,7.523915325138056,7.281309406557284,7.718415548644119,12.945034141280273,11.78350206951907
18,6.275749674186629,7.714456874230934,7.425170983282803,7.893428335860272,13.668846736151101,12.476649250079015
19,6.340557118195071,7.876461565990114,7.5431378995296186,8.039360547918594,14.689110058408232,13.16979643063896
20,6.409772546499081,8.04795603325331,7.6672876582846,8.187647999935791,15.412922653279061,13.862943611198906
21,6.535159750661793,8.273322006289382,7.87171328534253,8.418229580491104,15.911902054761372,14.556090791758852
22,6.59978731126703,8.430072573090582,7.981341354022046,8.547219845710375,16.635714649632202,15.249237972318797
23,6.717668390747158,8.639082367790824,8.16630008691961,8.75371063053992,17.134694051114515,15.942385152878742
24,6.778331970373442,8.78378671002034,8.264608645340962,8.867872746913072,17.858506645985344,16.635532333438686
25,6.835508717825551,8.918350282582287,8.353806321997684,8.970280413347952,18.582319240856172,17.32867951399863
26,6.889585106027954,9.044202137856495,8.43549189696113,9.063136528623673,19.306131835727,18.021826694558573
27,7.000856883175831,9.239240405701805,8.604468669313118,9.250133027047026,19.80511123720931,18.714973875118517
28,7.061598926493999,9.387031402965572,8.708213998774518,9.376241621302771,20.82537455946644,19.40812105567846
29,7.112897044356005,9.505283448651078,8.783566974203376,9.461062235265668,21.549187154337268,20.101268236238404
30,7.161689861446305,9.616840282153097,8.853539151106805,9.539230958468156,22.272999749208097,20.794415416798348
31,7.218903536291874,9.75339313202584,8.946702947536444,9.651274091243465,23.293263071465226,21.48756259735829
32,7.272998389210169,9.880575663540395,9.03138493839624,9.752187435851468,24.313526393722356,22.180709777918235
33,7.32430622687704,9.99974939813836,9.109076293451952,9.843964598162058,25.333789715979485,22.87385695847818
34,7.429689796753271,10.182637940708059,9.26457613407761,10.014460059843461,25.832769117461794,23.567004139038122
35,7.478487959160296,10.294844484309243,9.336381575710648,10.09854004560747,26.853032439718923,24.260151319598066
36,9.829747953826999,12.138600852098328,11.344616505593379,12.027685294036898,27.787359859079228,24.95329850015801
37,9.876272541786772,12.244675504732244,11.411458704607222,12.105589153791461,28.80762318133636,25.646445680717953
38,9.922794072978773,12.3502709659698,11.476750361371105,12.177808685501168,29.53143577620719,26.339592861277897
39,11.914840131430093,13.956104863268948,13.141966903649692,13.771034744017104,30.465763195567494,27.03274004183784
